allocation_id,project_id,project_name,employee_id,allocation_percentage,start_date,end_date,role_on_project
AL001,PRJ004,Sales Pipeline Automation,EMP001,0.7,2026-01-01,2026-12-31,Contributor
AL002,PRJ005,Security Audit,EMP001,0.3,2026-01-01,2026-12-31,Contributor
AL003,PRJ004,Sales Pipeline Automation,EMP002,0.6,2026-01-01,2026-12-31,Lead
AL004,PRJ002,Mobile App V2,EMP002,0.4,2026-01-01,2026-12-31,Contributor
AL005,PRJ002,Mobile App V2,EMP003,0.7,2026-01-01,2026-12-31,Contributor
AL006,PRJ005,Security Audit,EMP003,0.3,2026-01-01,2026-12-31,Contributor
AL007,PRJ004,Sales Pipeline Automation,EMP004,0.8,2026-01-01,2026-12-31,Contributor
AL008,PRJ_INTERNAL,Internal Operations,EMP004,0.2,2026-01-01,2026-12-31,Contributor
AL009,PRJ005,Security Audit,EMP005,0.7,2026-01-01,2026-12-31,Contributor
AL010,PRJ003,HR Portal Integration,EMP005,0.3,2026-01-01,2026-12-31,Contributor
AL011,PRJ002,Mobile App V2,EMP006,0.5,2026-01-01,2026-12-31,Lead
AL012,PRJ004,Sales Pipeline Automation,EMP006,0.5,2026-01-01,2026-12-31,Lead
AL013,PRJ002,Mobile App V2,EMP007,0.7,2026-01-01,2026-12-31,Contributor
AL014,PRJ_INTERNAL,Internal Operations,EMP007,0.3,2026-01-01,2026-12-31,Contributor
AL015,PRJ003,HR Portal Integration,EMP008,0.6,2026-01-01,2026-12-31,Contributor
AL016,PRJ_INTERNAL,Internal Operations,EMP008,0.4,2026-01-01,2026-12-31,Contributor
AL017,PRJ004,Sales Pipeline Automation,EMP009,0.8,2026-01-01,2026-12-31,Contributor
AL018,PRJ_INTERNAL,Internal Operations,EMP009,0.2,2026-01-01,2026-12-31,Contributor
AL019,PRJ002,Mobile App V2,EMP010,0.7,2026-01-01,2026-12-31,Contributor
AL020,PRJ_INTERNAL,Internal Operations,EMP010,0.3,2026-01-01,2026-12-31,Contributor
AL021,PRJ002,Mobile App V2,EMP011,0.7,2026-01-01,2026-12-31,Contributor
AL022,PRJ_INTERNAL,Internal Operations,EMP011,0.3,2026-01-01,2026-12-31,Contributor
AL023,PRJ005,Security Audit,EMP012,0.7,2026-01-01,2026-12-31,Lead
AL024,PRJ004,Sales Pipeline Automation,EMP012,0.3,2026-01-01,2026-12-31,Contributor
AL025,PRJ002,Mobile App V2,EMP013,0.5,2026-01-01,2026-12-31,Lead
AL026,PRJ004,Sales Pipeline Automation,EMP013,0.5,2026-01-01,2026-12-31,Lead
AL027,PRJ_INTERNAL,Internal Operations,EMP014,1.0,2026-01-01,2026-12-31,Contributor
